Agilent 39500 faktoren				
				
DEC			HEX				in OpenLab (Faktor 1)		
0			0				-0,0228(5)	
1024		0x400			kaum wahrnehmbare änderung
16384		0x4000			-0,0226(9)
65536   	0x1 0000		-0,0221(8)
262144   	0x4 0000		-0,0202(3)					2^18(?)
1048576   	0x10 0000		-0,01235(2)					2^20
2097152		0x20 0000		-0,00185(5)					2^21
4194304		0x40 0000		0,01905(8)					2^22
8388608		0x80 0000		0,06103						2^23
16777216	0x100 0000		0,14492						2^24
33554432	0x200 0000		0,31269(5)					2^25
67108864	0x400 0000		0,64824						2^26
134217728	0x800 0000		1,3193(25)					2^27
268435456	0x1000 0000		2,66152						2^28
536870912	0x2000 0000		5,345852					2^29
1073741824	0x4000 0000		10,714554					2^30
2147483648	0x8000 0000		21,4520						2^31
4294967295	0xffff ffff		42,92682					(2^32)-1
